plot_number,percent_coverage
1,4.22
2,5.38
3,13.56
4,3.12
5,14.06
6,4.64
7,8.48
8,7.31
9,10.37
10,2.28
11,5.65
12,12.78
13,13.52
14,16.73
15,20.33
16,14.45
17,8.16
18,18.4
19,27.2
20,22.74
21,12.84
22,19.61
23,23.93
24,12.26
25,28.93
26,19.48
27,16.26
28,10.17
29,13.33
30,7.77
31,12.2
32,17.24
33,20.96
34,23.63
35,27.48
36,30.84
37,28.82
38,34.83
39,28.71
40,15.58
41,14.18
42,22.81
43,30.02
44,34.51
45,36.88
46,32.59
47,23.53
48,29.61
49,25.27
50,31.57
51,28.56
52,30.15
53,29.81
54,34.94
55,39.27
56,31.84
57,30.28
58,26.01
59,26.62
60,9.38
61,17.87
62,17.31
63,25.44
64,23.1
65,25.45
66,31.18
67,21.91
68,31.04
69,35.92
70,26.08
71,37.23
72,31.99
73,18.63
74,37.93
75,25.88
76,26.47
77,13.58
78,29.21
79,14.86
80,14.71
81,26.04
82,27.71
83,28.71
84,37.3
85,32.24
86,18.2
87,40.73
88,39.73
89,38.38
90,35.02
91,35.62
92,36.34
93,26.44
94,34.27
95,45.0
96,33.5
97,42.22
98,29.27
99,38.16
100,31.34
101,12.73
102,17.87
103,22.56
104,31.6
105,26.63
106,31.67
107,26.25
108,36.74
109,29.94
110,28.82
111,32.21
112,25.38
113,25.35
114,26.92
115,31.52
116,26.62
117,18.91
118,27.08
119,18.24
120,18.39
121,6.72
122,22.08
123,37.78
124,34.49
125,42.42
126,35.42
127,38.59
128,39.29
129,39.47
130,29.22
131,41.04
132,24.69
133,30.92
134,18.66
135,37.3
136,26.04
137,27.6
138,23.64
139,33.63
140,11.63
141,10.21
142,8.21
143,35.69
144,36.51
145,30.42
146,27.51
147,35.36
148,25.7
149,32.94
150,33.64
151,34.77
152,36.55
153,37.49
154,32.01
155,35.63
156,22.49
157,23.42
158,15.06
159,26.22
160,15.38
161,12.88
162,32.99
163,32.9
164,40.46
165,39.52
166,40.22
167,40.89
168,35.31
169,39.85
170,37.87
171,35.12
172,30.2
173,35.95
174,34.34
175,41.54
176,33.5
177,27.16
178,30.32
179,38.38
180,31.62
181,34.08
182,20.59
183,39.6
184,31.14
185,43.01
186,39.7
187,38.28
188,28.24
189,37.35
190,30.24
191,36.73
192,22.14
193,37.83
194,35.69
195,43.94
196,30.72
197,29.03
198,39.37
199,41.64
200,32.28
